Player,Age,Position,CM,KG,Start,Sub,Mins,Goals,Assists,G+A,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
L.Hernandez,28,Defender,184,79,8,2,834,0,0,0,0,0,0,70.2,1.4,0,7.04,Atletico Madrid,2015/2016,FRA,France
L.Hernandez,28,Defender,184,79,13,2,1253,0,0,0,2,0,0.1,79,2.5,0,7.04,Atletico Madrid,2016/2017,FRA,France
L.Hernandez,28,Defender,184,79,24,3,2117,0,1,1,6,1,0.3,82.9,1.6,1,7.24,Atletico Madrid,2017/2018,FRA,France
L.Hernandez,28,Defender,184,79,13,1,1119,1,0,1,5,0,0.4,81.3,1.6,1,7.02,Atletico Madrid,2018/2019,FRA,France
L.Hernandez ,34,Defender,183,75,36,0,3224,0,0,0,4,1,0.3,81.3,1.2,0,6.82,Sporting Gijon,2015/2016,ESP,Spain
L.Hernandez ,34,Defender,183,75,19,0,1679,1,1,2,3,0,0.2,84.6,1.5,0,6.96,Malaga,2016/2017,ESP,Spain
L.Hernandez ,34,Defender,183,75,36,0,3240,0,1,1,8,0,0.1,80,1.3,1,6.59,Malaga,2017/2018,ESP,Spain
L.Hernandez ,34,Defender,183,75,15,1,1366,0,0,0,5,0,0.4,84.5,1,0,6.49,Cadiz,2021/2022,ESP,Spain
L.Hernandez ,34,Defender,183,75,35,0,3150,0,0,0,6,1,0.2,79.5,1.1,0,6.46,Cadiz,2022/2023,ESP,Spain
L.J.Suarez,26,Forward,185,74,18,9,1670,5,1,6,6,0,1.7,61.2,1,3,6.55,Granada,2020/2021,COL,Colombia
L.J.Suarez,26,Forward,185,74,34,3,2857,8,4,12,6,0,2.3,67.3,1.5,2,6.68,Granada,2021/2022,COL,Colombia
L.J.Suarez,26,Forward,185,74,18,3,1498,4,4,8,4,1,2,70,1.7,1,6.69,Almeria,2022/2023,COL,Colombia
L.Jovic,26,Forward,181,78,4,13,422,2,1,3,2,0,0.8,80.6,0.9,0,6.35,Real Madrid,2019/2020,SRB,Serbia
L.Jovic,26,Forward,181,78,2,2,149,0,0,0,0,0,1.5,84.6,0.8,0,6.22,Real Madrid,2020/2021,SRB,Serbia
